Penetrance,CaseCars,ControlCars,TotControls,TotCases,Scenario
0.05,30,588,6849388,69209,1
0.05,0,0,7121598,71935,1
0.05,269,5126,7166449,72605,1
0.05,0,0,7025909,70968,1
0.05,0,0,7546641,76228,1
0.05,0,0,6871610,69410,1
0.05,0,0,7197103,72698,1
0.05,0,0,6520653,65865,1
0.05,1747,33204,7016810,72288,1
0.05,393,7473,7251121,73561,1
0.05,0,0,6755605,68238,1
0.05,395,7520,6932757,70346,1
0.05,0,0,6853155,69223,1
0.05,0,0,6583846,66503,1
0.05,1597,30357,6792252,69898,1
0.05,0,0,6381450,64459,1
0.05,0,0,7659714,77370,1
0.05,116,2205,7238522,73210,1
0.05,0,0,6999404,70701,1
0.05,662,12581,7243931,73705,1
0.05,446,8476,7416792,75277,1
0.05,0,0,7557146,76334,1
0.05,160,3050,6464704,65429,1
0.05,276,5258,6775607,68663,1
0.05,0,0,7367430,74418,1
0.05,133,2529,7398631,74841,1
0.05,19,365,7071825,71447,1
0.05,0,0,7136437,72085,1
0.05,137,2607,6661087,67394,1
0.05,0,0,7563573,76399,1
0.05,0,0,7098964,71706,1
0.05,0,0,6671661,67390,1
0.05,535,10167,7154992,72704,1
0.05,26,500,7416953,74939,1
0.05,465,8853,7317824,74292,1
0.05,0,0,7265044,73384,1
0.05,250,4755,6588054,66747,1
0.05,3536,67189,6892879,72482,1
0.05,301,5737,7510829,76110,1
0.05,0,0,7390519,74651,1
0.05,160,3052,6537091,66160,1
0.05,1013,19256,7366186,75224,1
0.05,0,0,7302461,73762,1
0.05,446,8475,7264441,73738,1
0.05,1677,31866,6618883,68212,1
0.05,0,0,6752459,68206,1
0.05,471,8955,7047895,71571,1
0.05,0,0,7231194,73042,1
0.05,1311,24910,7862284,80476,1
0.05,42,811,7468060,75468,1
0.05,0,0,6834451,69034,1
0.05,560,10641,7389218,75091,1
0.05,0,0,6176280,62386,1
0.05,221,4201,6699098,67846,1
0.05,0,0,7389006,74636,1
0.05,0,0,7583195,76597,1
0.05,0,0,7786593,78652,1
0.05,0,0,7490793,75664,1
0.05,502,9553,7072360,71843,1
0.05,1004,19084,6320814,64657,1
0.05,0,0,7094654,71663,1
0.05,0,0,6764468,68327,1
0.05,2187,41555,6429767,66714,1
0.05,0,0,6730271,67982,1
0.05,0,0,6676933,67443,1
0.05,0,0,7260578,73339,1
0.05,762,14478,7150939,72847,1
0.05,1039,19747,7198187,73548,1
0.05,413,7866,6805355,69074,1
0.05,580,11027,6745540,68605,1
0.05,546,10385,7676306,77979,1
0.05,0,0,7096874,71685,1
0.05,924,17560,7136487,72832,1
0.05,128,2439,7777450,78663,1
0.05,1738,33022,6378020,65828,1
0.05,0,0,7036044,71071,1
0.05,0,0,6636961,67040,1
0.05,0,0,7790538,78692,1
0.05,0,0,6317972,63817,1
0.05,0,0,6656335,67235,1
0.05,718,13644,6602097,67268,1
0.05,1642,31200,7345893,75527,1
0.05,0,0,7143000,72151,1
0.05,1755,33360,7294720,75102,1
0.05,0,0,8108287,81901,1
0.05,267,5077,7375371,74714,1
0.05,1429,27151,6951542,71372,1
0.05,0,0,7282612,73561,1
0.05,0,0,7126286,71982,1
0.05,76,1455,7369077,74496,1
0.05,0,0,7206625,72794,1
0.05,0,0,7663494,77409,1
0.05,385,7325,7286736,73914,1
0.05,405,7711,5986942,60801,1
0.05,120,2298,7285705,73689,1
0.05,952,18092,6885089,70315,1
0.05,0,0,7835406,79145,1
0.05,0,0,7834748,79138,1
0.05,0,0,7754587,78329,1
0.05,0,0,6988871,70594,1
0.05,0,0,6527281,65932,1
0.05,545,10360,6722614,68345,1
0.05,44,838,6968220,70421,1
0.05,916,17420,6802689,69454,1
0.05,38,726,6757839,68291,1
0.05,0,0,6807180,68759,1
0.05,0,0,7703447,77812,1
0.05,0,0,7384037,74586,1
0.05,0,0,7308446,73822,1
0.05,0,0,7561188,76375,1
0.05,0,0,6792984,68615,1
0.05,0,0,7542883,76190,1
0.05,0,0,7373715,74481,1
0.05,0,0,7185120,72576,1
0.05,1674,31815,8142794,83603,1
0.05,0,0,7050697,71219,1
0.05,893,16979,7284458,74301,1
0.05,246,4688,6142419,62243,1
0.05,0,0,6994636,70652,1
0.05,456,8679,7256506,73666,1
0.05,0,0,6695129,67627,1
0.05,971,18459,7955572,81143,1
0.05,58,1108,6623285,66948,1
0.05,0,0,7305074,73788,1
0.05,0,0,7312436,73862,1
0.05,0,0,7079055,71505,1
0.05,584,11106,7501388,76243,1
0.05,0,0,8165134,82476,1
0.05,392,7454,6984787,70870,1
0.05,914,17377,6336962,64748,1
